,CLF,Batch_size,NB_WORDS,train_scores,test_scores
0,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=7))])",64,20,0.635064935064935,0.660377358490566
1,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=7))])",64,50,0.7181818181818181,0.7924528301886793
2,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=7))])",64,100,0.7757575757575758,0.8490566037735849
3,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=7))])",64,200,0.8233766233766234,0.8867924528301887
4,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=7))])",64,500,0.8134199134199134,0.8490566037735849
5,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=0.1))])",64,700,0.8597402597402597,0.8490566037735849
6,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=7))])",64,1000,0.7658008658008658,0.7924528301886793
7,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=7))])",64,1500,0.7848484848484848,0.8867924528301887
8,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=0.1))])",64,2000,0.8597402597402597,0.9245283018867925
9,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('linSVC', LinearSVC(C=7, loss='hinge'))])",128,20,0.6363636363636364,0.660377358490566
10,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('linSVC', LinearSVC(C=1, loss='hinge'))])",128,50,0.7761904761904762,0.7924528301886793
11,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('linSVC', LinearSVC(C=13, loss='hinge'))])",128,100,0.7948051948051948,0.7924528301886793
12,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=7))])",128,200,0.841125541125541,0.8867924528301887
13,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=7))])",128,500,0.8792207792207792,0.8867924528301887
14,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=0.1))])",128,700,0.8497835497835498,0.9245283018867925
15,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=0.1))])",128,1000,0.8311688311688312,0.8679245283018868
16,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=0.1))])",128,1500,0.8415584415584416,0.8679245283018868
17,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=7))])",128,2000,0.8329004329004329,0.9245283018867925
